CNAE,TOTAL
"0121101","31"
"0159801","65"
"0159802","168"
"0161001","77"
"0161002","182"
"0161003","792"
"0162802","4"
"0162803","1"
"0210106","1"
"0220906","4"
"0312403","1"
"0321304","12"
"0322104","29"
"0892401","1"
"1012101","21"
"1013901","120"
"1031700","151"
"1032599","93"
"1033301","20"
"1033302","40"
"1052000","39"
"1053800","3"
"1061902","6"
"1063500","21"
"1064300","18"
"1065101","8"
"1069400","10"
"1071600","23"
"1091101","1128"
"1091102","2736"
"1092900","319"
"1093701","269"
"1093702","37"
"1094500","699"
"1095300","57"
"1096100","1074"
"1099601","3"
"1099604","79"
"1099605","37"
"1099699","39"
"1122403","16"
"1122499","1"
"1220499","17"
"1311100","14"
"1312000","20"
"1321900","32"
"1322700","57"
"1340501","484"
"1340599","953"
"1351100","453"
"1352900","137"
"1353700","24"
"1359600","1508"
"1411801","473"
"1411802","231"
"1412601","8794"
"1412602","3505"
"1412603","7121"
"1413401","1"
"1413403","255"
"1414200","37"
"1421500","7"
"1422300","318"
"1510600","10"
"1521100","125"
"1529700","155"
"1531901","63"
"1531902","171"
"1539400","206"
"1540800","121"
"1622699","831"
"1623400","72"
"1629301","1275"
"1629302","121"
"1721400","10"
"1731100","49"
"1732000","29"
"1742701","27"
"1742702","8"
"1742799","5"
"1749400","407"
"1813001","534"
"1813099","548"
"1821100","728"
"1822901","84"
"1822999","4"
"2052500","6"
"2061400","11"
"2062200","32"
"2063100","36"
"2219600","103"
"2229399","181"
"2319200","42"
"2330305","3"
"2330399","422"
"2342702","16"
"2349499","210"
"2391501","28"
"2391502","41"
"2391503","447"
"2399101","123"
"2512800","733"
"2532201","269"
"2539001","1801"
"2539002","66"
"2541100","34"
"2542000","1664"
"2543800","246"
"2599301","296"
"2599399","201"
"2740602","36"
"2840200","1"
"2950600","56"
"3101200","4013"
"3102100","35"
"3103900","189"
"3104700","33"
"3211601","16"
"3211602","36"
"3211603","1"
"3212400","687"
"3220500","38"
"3230200","96"
"3240002","1"
"3240099","78"
"3291400","50"
"3292202","30"
"3299001","3"
"3299002","34"
"3299003","265"
"3299004","131"
"3299005","57"
"3299006","56"
"3299099","3029"
"3311200","73"
"3313901","226"
"3313902","14"
"3313999","138"
"3314701","52"
"3314702","249"
"3314706","43"
"3314707","519"
"3314709","20"
"3314710","161"
"3314711","255"
"3314712","84"
"3314719","112"
"3314720","275"
"3314799","299"
"3317102","203"
"3319800","143"
"3321000","1848"
"3329501","2693"
"3600602","9"
"3702900","39"
"3811400","331"
"3812200","10"
"3831901","194"
"3831999","117"
"3832700","208"
"3839499","201"
"4120400","1"
"4321500","10563"
"4322301","1148"
"4322302","2649"
"4322303","123"
"4329101","307"
"4329102","30"
"4329103","151"
"4329104","29"
"4329105","85"
"4330402","953"
"4330403","1480"
"4330404","9356"
"4330405","1758"
"4330499","1246"
"4399103","28432"
"4399105","63"
"4399199","583"
"4520001","4705"
"4520002","2943"
"4520003","980"
"4520004","73"
"4520005","4746"
"4520006","1362"
"4520007","1303"
"4520008","47"
"4530703","2156"
"4530704","570"
"4530705","149"
"4541206","633"
"4541207","21"
"4543900","1257"
"4623106","1"
"4642701","1"
"4679699","1"
"4691500","1"
"4711302","1"
"4712100","5158"
"4713002","960"
"4721102","1456"
"4721103","231"
"4721104","324"
"4722901","247"
"4722902","533"
"4723700","4693"
"4724500","2063"
"4729601","661"
"4729699","3292"
"4732600","103"
"4741500","149"
"4742300","469"
"4743100","678"
"4744001","688"
"4744002","482"
"4744003","75"
"4744004","131"
"4744005","1"
"4744099","1148"
"4751201","1931"
"4751202","61"
"4752100","1245"
"4753900","802"
"4754701","1102"
"4754702","678"
"4754703","128"
"4755501","246"
"4755502","1235"
"4755503","1795"
"4756300","127"
"4757100","521"
"4759801","422"
"4759899","892"
"4761001","226"
"4761002","82"
"4761003","435"
"4762800","96"
"4763601","774"
"4763602","573"
"4763603","482"
"4763604","281"
"4771701","41"
"4771703","16"
"4771704","69"
"4772500","4549"
"4773300","169"
"4774100","170"
"4781400","31265"
"4782201","876"
"4782202","96"
"4783101","792"
"4783102","116"
"4784900","248"
"4785701","47"
"4785799","819"
"4789001","2130"
"4789002","903"
"4789003","250"
"4789004","1457"
"4789005","1856"
"4789006","3"
"4789007","144"
"4789008","154"
"4789099","2631"
"4923001","742"
"4923002","1"
"4924800","1093"
"4929901","1657"
"4929902","1077"
"4929903","21"
"4929999","3"
"4930201","4466"
"4930202","2431"
"4930204","1025"
"5011401","22"
"5021101","8"
"5091201","10"
"5091202","21"
"5099801","63"
"5099899","44"
"5211702","18"
"5212500","1336"
"5223100","688"
"5229002","510"
"5229099","2510"
"5310502","29"
"5320201","946"
"5320202","5417"
"5510801","1"
"5590601","77"
"5590602","88"
"5590603","117"
"5590699","1128"
"5611201","4726"
"5611203","11524"
"5611204","9458"
"5611205","1143"
"5612100","6611"
"5620101","523"
"5620102","925"
"5620103","249"
"5620104","7959"
"5811500","497"
"5812300","13"
"5812301","425"
"5812302","425"
"5813100","544"
"5819100","2900"
"5911102","1"
"5912001","17"
"5912099","1444"
"6190699","710"
"6399200","157"
"6920601","160"
"7319002","17984"
"7319003","1670"
"7319099","542"
"7410202","1"
"7420001","3371"
"7420002","115"
"7420003","17"
"7420004","453"
"7490102","39"
"7719599","19"
"7721700","718"
"7722500","158"
"7723300","245"
"7729201","50"
"7729202","402"
"7729203","10"
"7729299","5"
"7731400","46"
"7732201","167"
"7732202","22"
"7733100","53"
"7739002","30"
"7739003","103"
"7739099","177"
"7820500","1"
"7911200","1272"
"7912100","289"
"7990200","332"
"8011101","46"
"8011102","76"
"8020002","113"
"8111700","1"
"8121400","1"
"8122200","116"
"8129000","670"
"8130300","4235"
"8211300","501"
"8219901","187"
"8219999","6801"
"8220200","1"
"8230001","4756"
"8230002","590"
"8291100","980"
"8292000","712"
"8299703","12"
"8299707","234"
"8299799","459"
"8592902","115"
"8592903","830"
"8592999","1688"
"8593700","653"
"8599603","1079"
"8599604","4954"
"8599605","416"
"8599699","5081"
"8712300","1930"
"9001901","289"
"9001902","1798"
"9001904","1"
"9001906","692"
"9002702","51"
"9102302","20"
"9313100","562"
"9329803","26"
"9329804","26"
"9329899","476"
"9511800","3969"
"9512600","1301"
"9521500","1307"
"9529101","215"
"9529102","518"
"9529103","62"
"9529104","364"
"9529105","1083"
"9529106","78"
"9529199","504"
"9601701","407"
"9601702","10"
"9601703","47"
"9602501","30552"
"9602502","10785"
"9603303","6"
"9603304","56"
"9609202","46"
"9609206","1330"
"9609207","205"
"9609208","1779"
"9609299","1097"
"9700500","7548"
